Counter	SCK	Shift Register	SS
0	1	0x00		0
1	1	0x00		0
2	0	0x00		0
3	0	0x00		0
4	1	0x01		0
5	1	0x01		0
6	0	0x01		0
7	0	0x01		0
8	1	0x02		0
9	1	0x02		0
10	0	0x02		0
11	0	0x02		0
12	1	0x04		0
13	1	0x04		0
14	0	0x04		0
15	0	0x04		0
16	1	0x08		0
17	1	0x08		0
18	0	0x08		0
19	0	0x08		0
20	1	0x10		0
21	1	0x10		0
22	0	0x10		0
23	0	0x10		0
24	1	0x20		0
25	1	0x20		0
26	0	0x20		0
27	0	0x20		0
28	1	0x40		0
29	1	0x40		0
30	0	0x40		0
31	0	0x40		0
32	1	0x80		1
33	1	0x80		0
34	0	0x80		0
35	0	0x80		0
36	1	0x00		0
37	1	0x00		0
38	0	0x00		0
39	0	0x00		0
